Flat-roof insulation,,,,,,
Flat-roof insulation - realization times in person-hours per m²,,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Minimum,Average,Maximum
A,GH2,1/31/2023,Flat-roof,0.1,0.15,0.2
A,GH5,2/4/2023,Flat-roof,0.2,0.24,0.26
A,GH6,2/6/2023,Flat-roof,0.1,,0.16
A,GH7,2/6/2023,Flat-roof,,0.075,0.13
A,GH17,1/28/2023,Flat-roof,0.05,0.05,0.1
A,GH18,1/29/2023,Flat-roof,0.075,0.1,
A,GH26,2/11/2023,Flat-roof,0.12,0.15,
A,GH28,2/27/2023,Flat-roof,0.128,,0.2
A,GH39,1/29/2023,Flat-roof,0.076,,0.15
A,GH44,1/30/2023,Flat-roof,0.1,0.12,0.15
