Air-to-Air Heat pump installation,,,,
Air-to-Air Heat pump installation - realization times in person-hours per device,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Average
B,GT1,10/13/2022,HP Air-Air,80
C,GT10,10/13/2022,HP Air-Air,24
C,GT11,2/27/2023,HP Air-Air,48
C,GT12,2/2/2023,HP Air-Air,160
A,GT30,2/25/2023,HP Air-Air,64
A,GT32,3/1/2023,HP Air-Air,80
