Pitched-roof insulation ,,,,,,
Pitched-roof insulation - realization times in person-hours per m²,,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Minimum,Average,Maximum
E,GH08,10/7/2022,Pitched-roof ,0.34,0.34,0.34
A,GH7,2/6/2023,Pitched-roof ,0.12,0.15,0.2
A,GH9,2/6/2023,Pitched-roof ,0.2,0.25,0.3
A,GH17,1/28/2023,Pitched-roof ,0.1,,0.36
A,GH22,2/5/2023,Pitched-roof ,0.024,,0.12
A,GH30,3/4/2023,Pitched-roof ,0.1,0.15,0.2
A,GH33,3/22/2023,Pitched-roof ,,0.3,
A,GH39,1/29/2023,Pitched-roof ,0.15,0.25,0.25
A,GH44,1/30/2023,Pitched-roof ,0.128,,
A,GH47,1/31/2023,Pitched-roof ,0.076,0.075,0.15
A,GH50,2/5/2023,Pitched-roof ,0.075,0.12,0.15
