Gas boiler deinstallation ,,,,,
Gas boiler deinstallation - realization times in person-hours per boiler,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,small,large
B,GT1,10/13/2022,Gas Deinstallation,15,23
B,GT2,1/24/2023,Gas Deinstallation,16,24
B,GT3,2/22/2023,Gas Deinstallation,16,50
B,GT4,3/8/2023,Gas Deinstallation,25,24
B,GT5,3/8/2023,Gas Deinstallation,16,32
B,GT6,3/8/2023,Gas Deinstallation,16,16
C,GT9,3/8/2023,Gas Deinstallation,8,16
C,GT10,10/13/2022,Gas Deinstallation,48,72
C,GT11,2/27/2023,Gas Deinstallation,6,12
C,GT12,2/2/2023,Gas Deinstallation,16,32
A,GT25,2/14/2023,Gas Deinstallation,20,20
A,GT26,2/14/2023,Gas Deinstallation,16,24
A,GT27,2/16/2023,Gas Deinstallation,16,30
A,GT28,2/16/2023,Gas Deinstallation,20,32
