Sole-Water Heat pump,,,,
Sole-Water Heat pump installation - realization times in person-hours per device,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Average
B,GT1,10/13/2022,HP Sole-Water,20
B,GT2,1/24/2023,HP Sole-Water,20
B,GT3,2/22/2023,HP Sole-Water,64
B,GT4,3/8/2023,HP Sole-Water,24
C,GT9,3/8/2023,HP Sole-Water,24
C,GT10,10/13/2022,HP Sole-Water,48
C,GT11,2/27/2023,HP Sole-Water,80
C,GT12,2/2/2023,HP Sole-Water,128
A,GT30,2/25/2023,HP Sole-Water,64
A,GT33,3/2/2023,HP Sole-Water,60
