Floor heating  ,,,,,,
Floor heating - realization times in person-hours and m²,,,,,,
Interviewer ID,Company ID,Date (DD/MM/YYYY),Measure,Minimum,Average,Maximum
A,GH11,2/3/2023,Floor Heating,0.4,0.5,0.6
A,GH13,2/14/2023,Floor Heating,0,0.84,
A,GH15,2/26/2023,Floor Heating,0.75,0.84,
A,GH17,1/28/2023,Floor Heating,0.72,0.8,
A,GT28,2/16/2023,Floor Heating,0,0.75,
